id,source,target
"876",6096237,"d180412"
"877",462557,"d180412"
"878",5866660,"d180412"
"879",2380311,"d180412"
"880",1005399,"d180412"
"881",3491839,"d180412"
"882",3874326,"d180412"
"883",3246212,"d180412"
"884",939692,"d180412"
"885",1213201,"d180412"
"886",302179,"d180412"
"887",4579343,"d180412"
"888",1783526,"d180412"
"889",1921402,"d180412"
"890",1800198,"d180412"
"891",73455,"d180412"
"892",31958,"d180412"
"893",2565622,"d180412"
"894",3108648,"d180412"
"895",155872,"d180412"
"896",1916224,"d180412"
"897",6124828,"d180412"
"898",2736762,"d180412"
"899",1098894,"d180412"
"900",1603887,"d180412"
"901",3566075,"d180412"
"902",3961606,"d180412"
"903",5915717,"d180412"
"904",5776500,"d180412"
"905",5370698,"d180412"
"906",3680769,"d180412"
"907",6096609,"d180412"
"908",1378119,"d180412"
"909",1366871,"d180412"
"910",1459281,"d180412"
"911",4208225,"d180412"
"912",1864376,"d180412"
"913",1620515,"d180412"
"914",4344324,"d180412"
"915",1490933,"d180412"
"916",4408064,"d180412"
"917",2555964,"d180412"
"918",953280,"d180412"
"919",4401797,"d180412"
"920",853731,"d180412"
"921",35379,"d180412"
"922",2373057,"d180412"
"923",432482,"d180412"
"924",1111226,"d180412"
"925",3407787,"d180412"
"926",5181692,"d180412"
"927",1028836,"d180412"
"928",1839281,"d180412"
"929",2495446,"d180412"
"930",2020089,"d180412"
"931",1017961,"d180412"
"932",1007939,"d180412"
"933",5591229,"d180412"
"934",698593,"d180412"
"935",1190491,"d180412"
"936",5428950,"d180412"
"937",1015758,"d180412"
"938",1024257,"d180412"
"939",1047089,"d180412"
"940",1364091,"d180412"
"941",3282426,"d180412"
"942",2117095,"d180412"
"943",5130426,"d180412"
"944",892906,"d180412"
"945",1354875,"d180412"
"946",32471,"d180412"
"947",1436676,"d180412"
"948",2148858,"d180412"
"949",2826910,"d180412"
"950",6151204,"d180412"
"951",3130308,"d180412"
"952",934979,"d180412"
"953",3641337,"d180412"
"954",569527,"d180412"
"955",1811399,"d180412"
"956",71553,"d180412"
"957",75003,"d180412"
"958",3755589,"d180412"
"959",1271836,"d180412"
"960",3261538,"d180412"
"961",4770382,"d180412"
"962",5360823,"d180412"
"963",1477806,"d180412"
"964",4700300,"d180412"
"965",2177176,"d180412"
"966",1411945,"d180412"
"967",5093591,"d180412"
"968",733906,"d180412"
"969",2630720,"d180412"
"970",5629905,"d180412"
"971",473395,"d180412"
"972",5121791,"d180412"
"973",196196,"d180412"
"974",1373743,"d180412"
"975",2366928,"d180412"
"976",1284653,"d180412"
"977",718469,"d180412"
"978",2070094,"d180412"
"979",3030827,"d180412"
"980",3261872,"d180412"
"981",282679,"d180412"
"982",2502348,"d180412"
"983",181824,"d180412"
"984",543342,"d180412"
"985",2240875,"d180412"
"986",2068875,"d180412"
"987",2308594,"d180412"
"988",1882719,"d180412"
"989",3636416,"d180412"
"990",1249641,"d180412"
"991",3097962,"d180412"
"992",2799689,"d180412"
"993",4898823,"d180412"
"994",5392344,"d180412"
"995",3212167,"d180412"
"996",5543269,"d180412"
"997",3082703,"d180412"
"998",1027560,"d180412"
"999",2745481,"d180412"
"1000",2308897,"d180412"
"1001",142361,"d180412"
"1002",2929134,"d180412"
"1003",1256137,"d180412"
"1004",1092321,"d180412"
"1005",1295958,"d180412"
"1006",2434965,"d180412"
"1007",6208408,"d180412"
"1008",4223635,"d180412"
"1009",940374,"d180412"
"1010",3926031,"d180412"
"1011",1198074,"d180412"
"1012",666642,"d180412"
"1013",1653837,"d180412"
"1014",3653695,"d180412"
"1015",75411,"d180412"
"1016",3480649,"d180412"
"1017",568432,"d180412"
"1018",996059,"d180412"
"1019",740362,"d180412"
"1020",5101665,"d180412"
"1021",1269263,"d180412"
"1022",3117404,"d180412"
"1023",1015197,"d180412"
"1024",128463,"d180412"
"1025",667181,"d180412"
"1026",4699752,"d180412"
"1027",1853214,"d180412"
"1028",2579753,"d180412"
"1029",1920941,"d180412"
"1030",2506445,"d180412"
"1031",1424466,"d180412"
"1032",1613203,"d180412"
"1033",4683548,"d180412"
"1034",667762,"d180412"
"1035",5046383,"d180412"
"1036",2711885,"d180412"
"1037",3393502,"d180412"
"1038",1100506,"d180412"
"1039",507972,"d180412"
"1040",2341499,"d180412"
"1041",5080547,"d180412"
"1042",1269191,"d180412"
"1043",239821,"d180412"
"1044",49968,"d180412"
"1045",957920,"d180412"
"1046",3532028,"d180412"
"1047",5257911,"d180412"
"1048",2101094,"d180412"
"1049",1882669,"d180412"
"1050",2188743,"d180412"
"1051",256354,"d180412"
"1052",1840475,"d180412"
"1053",1150062,"d180412"
"1054",3117811,"d180412"
"1055",5453120,"d180412"
"1056",1521705,"d180412"
"1057",3603663,"d180412"
"1058",3727916,"d180412"
"1059",443110,"d180412"
"1060",653634,"d180412"
"1061",1113493,"d180412"
"1062",1146219,"d180412"
"1063",2954230,"d180412"
"1064",4795262,"d180412"
"1065",576728,"d180412"
"1066",2456837,"d180412"
"1067",1595546,"d180412"
"1068",5033852,"d180412"
"1069",3892715,"d180412"
"1070",4509151,"d180412"
"1071",927535,"d180412"
"1072",2391858,"d180412"
"1073",3942375,"d180412"
"1074",2824043,"d180412"
"1075",5468751,"d180412"
"1076",4148060,"d180412"
"1077",996713,"d180412"
"1078",5837152,"d180412"
"1079",3001077,"d180412"
"1080",5752079,"d180412"
"1081",4594109,"d180412"
"1082",5168646,"d180412"
"1083",927600,"d180412"
"1084",1904671,"d180412"
"1085",2088441,"d180412"
"1086",3196017,"d180412"
"1087",4529852,"d180412"
"1088",4829942,"d180412"
"1089",3886855,"d180412"
