,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
959,9445589,"City center, 2 bedrooms, 100m2 of Terraces",15253171,Bernard,Ciutat Vella,el Raval,41.3802663494,2.16705229128,Entire home/apt,95,2,62,2017-11-30,2.82,1,283,erased
966,14271027,Luminosa habitacion en el Centro de Barcelona,19242318,Juan,Ciutat Vella,el Raval,41.3787626328,2.17290333971,Private room,40,4,5,2017-10-07,1.6,2,311,erased
980,18662169,Nice studio near Placa Catalunya,7316491,German,Ciutat Vella,el Raval,41.3855827174,2.1672763271,Entire home/apt,270,3,0,,,27,336,erased
992,6601363,SUNNY APARTMENT/CITY CENTER in Las Ramblas,34536150,Emilio,Ciutat Vella,el Raval,41.3828894503,2.17074860385,Entire home/apt,79,2,38,2017-10-20,1.28,1,9,erased
1004,11629529,Cute attic in the city centre.,61619668,Pablo,Ciutat Vella,el Raval,41.3783949255,2.16433486288,Entire home/apt,79,5,22,2017-09-28,1.07,1,270,erased
1009,19157422,Cozy Studio Plaza Catalunya,49699707,Sol & Bruno,Ciutat Vella,el Raval,41.3823098878,2.1697137068,Entire home/apt,90,2,3,2017-09-10,0.52,1,33,erased
1012,19117096,Metro Sant Antonio - LUX  Apartment Center,41908096,Silver,Ciutat Vella,el Raval,41.3784100519,2.16412604064,Entire home/apt,80,3,10,2017-11-20,2.17,3,81,erased
1017,18725103,Cozy room in the Raval neighborhood,56060413,Lar,Ciutat Vella,el Raval,41.3814856357,2.16839154424,Private room,49,2,17,2017-10-23,2.7,1,4,erased
1041,16753736,Central Red Room & Free Breakfast,54082387,Ferran,Ciutat Vella,el Raval,41.377161526,2.16998353913,Private room,9,1,38,2017-11-12,3.61,10,8,erased
1044,11117507,Home sweet home in Raval,14693377,Sebastian,Ciutat Vella,el Raval,41.3788413181,2.16646602341,Entire home/apt,99,3,3,2017-08-13,0.14,1,0,erased
1047,21343337,The central cute apartment in the heart of city,150164588,Leo,Ciutat Vella,el Raval,41.378631412,2.17031685809,Entire home/apt,79,1,0,,,5,36,erased
1054,19900737,PISO CON TERRAZA EN EL CENTRO DEL RAVAL,52512487,Rosa,Ciutat Vella,el Raval,41.378945232,2.16623912561,Entire home/apt,128,3,8,2017-11-17,1.85,1,344,erased
1056,21078400,The nice and cozy room in the heart of Barcelona,150164588,Leo,Ciutat Vella,el Raval,41.3792062627,2.16872743217,Private room,29,1,0,,,5,36,erased
1062,14592604,Central&PERFECT SINGLE Room in Heart of BCN,655279,John&Feran,Ciutat Vella,el Raval,41.3855230458,2.16576101947,Private room,11,1,66,2017-12-03,4.43,4,71,erased
1078,13541169,PRECIOSA HABITACIÓN DOBLE EN EL CENTRO!!!,7647190,Dann,Ciutat Vella,el Raval,41.384731366,2.16771566824,Private room,65,2,51,2017-07-17,2.93,2,41,erased
1079,21929717,Sunny & Quiet in the heart of BCN,4124827,Simon,Ciutat Vella,el Raval,41.3840726661,2.16816152894,Entire home/apt,89,2,0,,,4,77,erased
1084,21799536,Great apartment in perfect location!,137232269,Lucas,Ciutat Vella,el Raval,41.3831816037,2.16997785927,Entire home/apt,51,3,0,,,1,0,erased
1092,19373229,Habitacion doble en pleno centro Barcelona,20021124,Marta,Ciutat Vella,el Raval,41.3773619142,2.17199658756,Private room,39,2,17,2017-10-26,2.93,1,342,erased
1131,21859557,Shining Double Room with balcony & panoramic view,151681515,Fiona,Ciutat Vella,el Raval,41.3793687303,2.16377556143,Private room,27,2,0,,,1,10,erased
1141,15633021,APTO CENTRAL  (EL RAVAL),66882301,Felipe,Ciutat Vella,el Raval,41.3794909576,2.16637023303,Entire home/apt,50,2,27,2017-11-26,2.04,4,16,erased
1147,16746765,Central Blue Room & Free Breakfast,54082387,Ferran,Ciutat Vella,el Raval,41.37686572,2.16934101894,Private room,11,1,44,2017-11-22,4.06,10,8,erased
1157,20022693,Nice sunny room in Raval Citycenter Barcelona,142181304,Gerard,Ciutat Vella,el Raval,41.379774887,2.16431770843,Private room,20,5,5,2017-09-28,1.29,1,47,erased
1159,21595424,Cozy room in quite apartment,121335648,José,Ciutat Vella,el Raval,41.3854235796,2.16733403329,Private room,45,1,0,,,1,354,erased
